atom_number,atom_id,atom_name,collection_number,series_number,series_name,therapeutic_jobs,physics_tags,primary_differentiation_axis,sensor_escalation,closure_upgrade,occupancy_upgrade,cluster_rule
247,acceptance-change,The Acceptance/Change Engine,3,25,The Dialectical Engine,perspective,topological | acoustic | optical,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
265,improvisation,The Improvisation Engine,3,27,The Cosmic Play,agency | connection | focus,fluid | optical | acoustic,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
318,noise-filter,The Noise Filter Engine,4,32,The Cymatic Engine,focus | connection | release,acoustic | optical | topological,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
324,tangled-thread,The Tangled Thread Engine,4,33,The Catalyst Web,boundary | focus | identity,gravitational | network | structural,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
332,spindle-focus,The Spindle Engine,4,34,The Chaos Loom,connection | boundary | focus,fluid | network | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
338,web-spinner,The Web Spinner Engine,4,34,The Chaos Loom,boundary | connection | perspective,network | gravitational | structural,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
343,hydraulic-press,The Hydraulic Press Engine,4,35,The Pressure Vessel,regulation | agency | focus,thermal | fluid,"Change drag law: eddy, stream, pressure gradient, viscosity shift","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
356,dynamo-spin,The Dynamo Engine,4,36,The Friction Spark,agency | focus | regulation,thermal | fluid | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
363,prism-spectrum,The Prism Spectrum Engine,4,37,The Conduit,agency | focus | regulation,fluid | structural | optical,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
364,transformer-coil,The Transformer Coil Engine,4,37,The Conduit,agency | focus | regulation,fluid | structural | acoustic,"Change drag law: eddy, stream, pressure gradient, viscosity shift","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
373,centrifuge-spin,The Centrifuge Spin Engine,4,38,The Magnetic Sieve,regulation | agency | focus,gravitational | network | fluid,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
375,noise-threshold,The Noise Threshold Engine,4,38,The Magnetic Sieve,temporal | agency | boundary,gravitational | network | structural,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
383,gear-mesh,The Gear Mesh Engine,4,39,The Momentum Wheel,agency | boundary,gravitational | fluid | subtractive,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
387,siphon-transfer,The Siphon Transfer Engine,4,39,The Momentum Wheel,agency | boundary | connection,fluid | gravitational | subtractive,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
388,escapement-tick,The Escapement Tick Engine,4,39,The Momentum Wheel,release | agency | boundary,gravitational | fluid | subtractive,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
392,alloy-fusion,The Alloy Fusion Engine,4,40,The Synthesis Forge,release | boundary | connection,fluid | network | thermal,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
399,polish-refine,The Polish Engine,4,40,The Synthesis Forge,release | perspective | transmutation,fluid | optical | network,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
401,magnification-shadow,The Magnification Engine,5,41,The Shadow Caster,identity | perspective | temporal,optical | gravitational | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
403,long-cast-shadow,The Long Cast Engine,5,41,The Shadow Caster,identity | temporal | perspective,optical | temporal | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
406,eclipse-cover,The Eclipse Engine,5,41,The Shadow Caster,identity | perspective | boundary,optical | network | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
412,mobius-slice,The Möbius Slice Engine,5,42,The Escher Loop,perspective | identity,topological | network | acoustic,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
414,impossible-tribar,The Impossible Triangle Engine,5,42,The Escher Loop,perspective | agency | focus,topological | gravitational | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
425,centrifugal-floor,The Centrifugal Floor Engine,5,43,The Gravity Inverter,regulation | boundary | agency,gravitational | network | structural,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
433,blind-navigation,The Blind Navigation Engine,5,44,The Depth Sounder,boundary | regulation | connection,optical | structural | acoustic,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
435,thermocline-descent,The Thermocline Engine,5,44,The Depth Sounder,regulation | temporal | boundary,thermal | acoustic | network,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
437,bathysphere-dive,The Bathysphere Engine,5,44,The Depth Sounder,regulation | connection | perspective,thermal | acoustic | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
447,vertex-snap-plane,The Vertex Snap Engine,5,45,The Tesseract,identity | perspective | release,gravitational | network | optical,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
451,polarized-lens,The Polarized Lens Engine,5,46,The Blind Spot,focus | perspective | agency,optical | subtractive | thermal,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
456,chromatic-filter,The Chromatic Filter Engine,5,46,The Blind Spot,focus | perspective | agency,optical | subtractive | thermal,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
458,uv-revelation,The UV Revelation Engine,5,46,The Blind Spot,perspective | agency | focus,optical | subtractive | thermal,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
461,perfect-symmetry,The Perfect Symmetry Engine,5,47,The Mirror World,identity | perspective | boundary,optical | acoustic | fluid,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
462,tethered-avatar,The Tethered Avatar Engine,5,47,The Mirror World,identity | perspective | agency,optical | network | acoustic,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
468,superiority-shadow,The Superiority Shadow Engine,5,47,The Mirror World,identity | perspective | boundary,optical | network | subtractive,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
470,projection-unification,The Projection Unification Engine,5,47,The Mirror World,identity | perspective | boundary,optical | acoustic | fluid,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
474,boundary-illusion,The Boundary Illusion Engine,5,48,The Klein Bottle,boundary | identity | perspective,network | optical | fluid,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
484,heavy-anchor-ground,The Heavy Anchor Engine,5,49,The Abyssal Anchor,regulation | boundary | identity,gravitational | structural | thermal,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
489,benthic-light,The Benthic Light Engine,5,49,The Abyssal Anchor,identity | regulation | release,gravitational | thermal | subtractive,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
495,eclipse-merge,The Eclipse Merge Engine,5,50,The Shadow Integration,identity | connection | temporal,optical | subtractive | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
501,non-newtonian-shield,The Non-Newtonian Shield Engine,6,51,The Glacial Pacer,boundary | regulation | temporal,gravitational | thermal | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
502,kinetic-multiplier,The Kinetic Multiplier Engine,6,51,The Glacial Pacer,boundary | regulation | temporal,gravitational | thermal | temporal,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
503,friction-burn,The Friction Burn Engine,6,51,The Glacial Pacer,boundary | regulation | temporal,network | thermal | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
507,over-steer,The Over-Steer Engine,6,51,The Glacial Pacer,temporal | boundary | regulation,gravitational | network | temporal,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
509,viscous-climb,The Viscous Climb Engine,6,51,The Glacial Pacer,boundary | regulation | temporal,gravitational | network | fluid,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
510,glacier-force,The Glacier Force Engine,6,51,The Glacial Pacer,boundary | regulation | temporal,gravitational | thermal | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
516,tangled-thread-weave,The Tangled Thread Engine,6,52,The Fractal Zoom,boundary | connection | focus,gravitational | network | fluid,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
521,fault-line-snap,The Fault Line Engine,6,53,The Tectonic Shift,agency | regulation | temporal,thermal | gravitational | acoustic,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
522,subduction-zone,The Subduction Zone Engine,6,53,The Tectonic Shift,temporal | regulation | release,thermal | gravitational | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
530,orogeny-peak,The Orogeny Engine,6,53,The Tectonic Shift,temporal | boundary | regulation,thermal | gravitational | temporal,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
538,glacial-polish,The Glacial Polish Engine,6,54,The Geological Carver,boundary | perspective | agency,fluid | gravitational | thermal,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
554,forward-cast-nodes,The Forward Cast Engine,6,56,The Ancestral Tether,temporal | boundary | perspective,network | temporal | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
557,orphan-node-lattice,The Orphan Node Engine,6,56,The Ancestral Tether,temporal | perspective | boundary,network | thermal | temporal,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
559,tension-release-slack,The Tension Release Engine,6,56,The Ancestral Tether,temporal | boundary | agency,network | temporal | optical,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
561,claustrophobia-expand,The Claustrophobia Expand Engine,6,57,The Horizon Line,perspective | temporal | boundary,optical | temporal | acoustic,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
563,fog-of-war-beacon,The Fog of War Beacon Engine,6,57,The Horizon Line,perspective | temporal | boundary,optical | temporal | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
566,delayed-yield-harvest,The Delayed Yield Engine,6,57,The Horizon Line,temporal | perspective | boundary,temporal | gravitational | optical,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
568,doppler-shift-approach,The Doppler Shift Engine,6,57,The Horizon Line,temporal | perspective | agency,temporal | gravitational | acoustic,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
582,shade-tree-canopy,The Shade Tree Engine,6,59,The Legacy Seed,boundary | identity | connection,network | structural | optical,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
585,cornerstone-align,The Cornerstone Engine,6,59,The Legacy Seed,boundary | agency | identity,structural | gravitational | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
589,orbit-launch-escape,The Orbit Launch Engine,6,59,The Legacy Seed,release | boundary | agency,structural | network | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
