atom_number,atom_id,atom_name,collection_number,series_number,series_id,series_name,proposed_hero_grade,review_lane,signoff_status,ingest_readiness,dominant_verb_seed,counterforce_type_seed,semantic_neutrality_seed,resolution_class_seed,memory_trace_type_seed,approved_for_navicue,approved_for_journey,approved_for_insight,approved_for_practice,structural_score,triage_tier,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags,signoff_notes,manual_hero_grade,manual_override_reason,reviewer,reviewed_at
11,wave-collapse,The Wave Collapse Engine,1,2,quantum-mechanics,The Quantum Mechanics,signature,signature-pass,seeded,curation-ready,hold,distortion,high,field-recompose,reorientation,yes,yes,yes,review,10,hero-candidate,low-heat,signature,high,high,medium,1,low,,complexity:moderate | fit:insight-high | fit:journey-high | fit:navicue-signature | fit:practice-medium | heat:low-heat | input:breath | input:hold | input:tap | job:focus | job:perspective | job:release | physics:network | physics:optical | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
12,schrodinger-box,The Schrödinger Box Engine,1,2,quantum-mechanics,The Quantum Mechanics,playable,composition-pass,seeded,hold,hold,friction,high,field-recompose,reorientation,review,no,review,review,6,composition-sensitive,broad,medium,low,medium,medium,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate | fit:insight-medium | fit:journey-low | fit:navicue-medium | fit:practice-medium | heat:broad | input:hold | input:observe | input:tap | job:agency | job:focus | job:identity | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
13,double-slit,The Double Slit Engine,1,2,quantum-mechanics,The Quantum Mechanics,implemented,composition-pass,seeded,hold,trigger,drag,high,none,release,no,review,yes,review,4,composition-sensitive,low-heat,low,medium,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate | fit:insight-high | fit:journey-medium | fit:navicue-low | fit:practice-medium | heat:low-heat | input:observe | input:tap | job:focus | job:identity | job:temporal | physics:fluid | physics:temporal | resolution:none | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
14,many-worlds,The Many-Worlds Engine,1,2,quantum-mechanics,The Quantum Mechanics,playable,composition-pass,seeded,hold,redirect,paradox,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | input:swipe | job:agency | job:focus | job:temporal | physics:temporal | physics:thermal | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
15,entanglement,The Entanglement Engine,1,2,quantum-mechanics,The Quantum Mechanics,playable,composition-pass,seeded,hold,guide,distortion,high,loop,clarity,review,yes,yes,review,6,composition-sensitive,low-heat,medium,high,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-medium | heat:low-heat | input:breath | input:drag | input:observe | job:connection | job:focus | job:perspective | physics:network | physics:optical | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
16,uncertainty-blur,The Uncertainty Blur Engine,1,2,quantum-mechanics,The Quantum Mechanics,playable,composition-pass,seeded,hold,reshape,friction,high,loop,stillness,review,yes,review,review,6,composition-sensitive,low-heat,medium,high,medium,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-medium | heat:low-heat | input:observe | input:pinch | job:agency | job:focus | job:perspective | resolution:loop | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
17,quantum-tunnel,The Quantum Tunnel Engine,1,2,quantum-mechanics,The Quantum Mechanics,implemented,composition-pass,seeded,hold,guide,paradox,high,field-recompose,reorientation,review,no,review,yes,5,composition-sensitive,low-heat,medium,low,medium,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | input:hold | job:agency | job:boundary | job:focus | physics:structural | physics:temporal | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
18,zero-point-field,The Zero-Point Field Engine,1,2,quantum-mechanics,The Quantum Mechanics,hero-grade,hero-pass,seeded,curation-ready,hold,pressure,high,loop,stillness,yes,yes,review,no,8,hero-candidate,low-heat,high,high,medium,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-low | heat:low-heat | input:hold | input:tap | job:focus | job:regulation | physics:subtractive | physics:thermal | resolution:loop | sensor:haptics | sensor:pressure | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
19,retrocausal,The Retrocausal Engine,1,2,quantum-mechanics,The Quantum Mechanics,hero-grade,hero-pass,seeded,curation-ready,clear,friction,high,field-recompose,reorientation,yes,yes,yes,yes,8,hero-candidate,low-heat,high,high,high,high,1,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:low-heat | input:drag | input:scrub | job:focus | job:identity | job:temporal | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
20,holographic,The Holographic Engine,1,2,quantum-mechanics,The Quantum Mechanics,implemented,composition-pass,seeded,hold,reshape,paradox,high,loop,stillness,no,yes,yes,review,5,composition-sensitive,low-heat,low,high,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate | fit:insight-high | fit:journey-high | fit:navicue-low | fit:practice-medium | heat:low-heat | input:observe | input:pinch | job:focus | job:perspective | physics:topological | resolution:loop | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
21,l-system-branching,The L-System Branching Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,hero-grade,hero-pass,seeded,curation-ready,trigger,paradox,high,loop,weight-shift,yes,yes,review,no,8,hero-candidate,low-heat,high,high,medium,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-low | heat:low-heat | input:breath | input:observe | input:tap | job:agency | job:boundary | job:regulation | physics:gravitational | physics:network | physics:topological | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
22,boids-flocking,The Boids Flocking Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,hero-grade,hero-pass,seeded,curation-ready,guide,entanglement,high,loop,integration,yes,review,yes,no,8,hero-candidate,low-heat,high,medium,high,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate | fit:insight-high | fit:journey-medium | fit:navicue-high | fit:practice-low | heat:low-heat | input:breath | input:drag | input:hold | input:tap | job:agency | job:boundary | job:identity | physics:network | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
23,composting,The Composting Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:drag | input:tap | job:agency | job:boundary | job:regulation | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
24,mycelial-routing,The Mycelial Routing Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,hero-grade,hero-pass,seeded,curation-ready,trigger,distortion,high,loop,clarity,yes,review,review,no,8,hero-candidate,low-heat,high,medium,medium,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate | fit:insight-medium | fit:journey-medium | fit:navicue-high | fit:practice-low | heat:low-heat | input:breath | input:observe | input:tap | job:agency | job:boundary | job:connection | physics:network | physics:optical | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
25,symbiosis,The Symbiosis Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,playable,composition-pass,seeded,hold,clear,entanglement,high,loop,integration,review,yes,review,no,7,composition-sensitive,low-heat,medium,high,medium,low,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-low | heat:low-heat | input:breath | input:observe | input:scrub | job:agency | job:boundary | job:regulation | physics:fluid | physics:network | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
26,pruning,The Pruning Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,playable,composition-pass,seeded,hold,redirect,paradox,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:swipe | input:tap | job:agency | job:boundary | job:regulation | physics:fluid | physics:network | physics:topological | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
27,dormancy,The Dormancy Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,implemented,composition-pass,seeded,hold,hold,entanglement,high,none,weight-shift,no,review,yes,review,5,composition-sensitive,broad,low,medium,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-low | fit:practice-medium | heat:broad | input:hold | input:observe | job:agency | job:identity | job:regulation | physics:gravitational | physics:network | physics:subtractive | resolution:none | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
28,ecosystem-balancer,The Ecosystem Balancer,1,3,biomimetic-algorithms,The Biomimetic Algorithms,signature,signature-pass,seeded,curation-ready,guide,distortion,high,field-recompose,reorientation,yes,yes,review,yes,9,hero-candidate,high-heat,signature,high,medium,high,1,low,,complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-signature | fit:practice-high | heat:high-heat | input:breath | input:drag | input:tap | job:agency | job:boundary | job:regulation | physics:fluid | physics:network | physics:optical | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
29,pollination,The Pollination Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,playable,composition-pass,seeded,hold,guide,entanglement,high,field-recompose,reorientation,review,review,no,yes,7,composition-sensitive,high-heat,medium,medium,low,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:breath | input:drag | input:tap | job:agency | job:boundary | job:regulation | physics:fluid | physics:network | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
30,erosion,The Erosion Engine,1,3,biomimetic-algorithms,The Biomimetic Algorithms,playable,composition-pass,seeded,hold,hold,entanglement,high,field-recompose,reorientation,review,yes,review,yes,6,composition-sensitive,low-heat,medium,high,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:hold | input:observe | job:agency | job:boundary | job:regulation | physics:fluid | physics:network | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
31,sensory-deprivation,The Sensory Deprivation Engine,1,4,via-negativa,The Via Negativa,implemented,composition-pass,seeded,hold,witness,distortion,high,field-recompose,reorientation,review,no,yes,yes,5,composition-sensitive,low-heat,medium,low,high,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:low-heat | input:observe | job:agency | job:boundary | job:focus | physics:optical | physics:subtractive | physics:temporal | resolution:field-recompose | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
32,un-naming,The Un-Naming Engine,1,4,via-negativa,The Via Negativa,playable,composition-pass,seeded,hold,trace,distortion,high,field-recompose,reorientation,review,no,yes,yes,7,composition-sensitive,low-heat,medium,low,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:low-heat | input:draw | input:swipe | job:agency | job:focus | job:identity | physics:optical | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
33,figure-ground-reversal,The Figure-Ground Reversal Engine,1,4,via-negativa,The Via Negativa,hero-grade,hero-pass,seeded,curation-ready,hold,distortion,high,field-recompose,reorientation,yes,yes,yes,yes,8,hero-candidate,high-heat,high,high,high,high,7,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:hold | input:observe | job:focus | job:identity | job:regulation | physics:optical | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
34,vacuum-seal,The Vacuum Seal Engine,1,4,via-negativa,The Via Negativa,hero-grade,hero-pass,seeded,curation-ready,guide,distortion,high,seal,closure,yes,review,yes,yes,8,hero-candidate,high-heat,high,medium,high,high,9,low,,complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-high | fit:practice-high | heat:high-heat | input:drag | input:hold | job:agency | job:boundary | job:focus | physics:optical | physics:subtractive | physics:thermal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
35,dark-matter,The Dark Matter Engine,1,4,via-negativa,The Via Negativa,playable,composition-pass,seeded,hold,hold,distortion,high,loop,weight-shift,review,review,yes,review,7,composition-sensitive,low-heat,medium,medium,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-medium | heat:low-heat | input:breath | input:hold | input:observe | job:agency | job:focus | job:identity | physics:gravitational | physics:optical | physics:subtractive | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
36,static-clear,The Static Clear Engine,1,4,via-negativa,The Via Negativa,playable,composition-pass,seeded,hold,trace,distortion,high,state-morph,transformation,review,no,yes,yes,7,composition-sensitive,low-heat,medium,low,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:low-heat | input:draw | input:swipe | job:agency | job:focus | job:identity | physics:optical | physics:subtractive | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
37,apneic-pause,The Apneic Pause Engine,1,4,via-negativa,The Via Negativa,hero-grade,hero-pass,seeded,curation-ready,hold,distortion,high,loop,clarity,yes,review,yes,no,8,hero-candidate,low-heat,high,medium,high,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate | fit:insight-high | fit:journey-medium | fit:navicue-high | fit:practice-low | heat:low-heat | input:breath | input:hold | input:observe | job:agency | job:focus | job:identity | physics:optical | physics:subtractive | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
38,format-reset,The Format/Reset Engine,1,4,via-negativa,The Via Negativa,playable,composition-pass,seeded,hold,hold,distortion,high,seal,closure,review,no,review,yes,6,composition-sensitive,high-heat,medium,low,medium,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | job:agency | job:boundary | job:focus | physics:optical | physics:subtractive | physics:temporal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
39,noise-gate,The Noise Gate Engine,1,4,via-negativa,The Via Negativa,hero-grade,hero-pass,seeded,curation-ready,clear,distortion,high,field-recompose,reorientation,yes,review,yes,yes,8,hero-candidate,low-heat,high,medium,high,high,6,low,,complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-high | fit:practice-high | heat:low-heat | input:drag | input:scrub | job:agency | job:focus | job:identity | physics:acoustic | physics:optical | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
40,singularity,The Singularity Engine,1,4,via-negativa,The Via Negativa,signature,signature-pass,seeded,curation-ready,reshape,distortion,high,seal,closure,yes,review,yes,yes,9,hero-candidate,high-heat,signature,medium,high,high,1,low,,complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-signature | fit:practice-high | heat:high-heat | input:breath | input:hold | input:pinch | job:agency | job:focus | job:identity | physics:gravitational | physics:optical | physics:subtractive | resolution:seal | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
41,phase-lock,The Phase Lock Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,hero-grade,hero-pass,seeded,curation-ready,guide,entanglement,high,field-recompose,reorientation,yes,yes,review,review,8,hero-candidate,low-heat,high,high,medium,medium,1,low,,complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-medium | heat:low-heat | input:drag | input:observe | job:regulation | job:transmutation | physics:acoustic | physics:network | resolution:field-recompose | sensor:audio | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
42,vagal-hum,The Vagal Hum Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,playable,composition-pass,seeded,hold,speak,entanglement,medium,field-recompose,reorientation,review,review,yes,no,9,composition-sensitive,low-heat,medium,medium,high,low,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:rich | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-low | heat:low-heat | input:breath | input:observe | input:voice | job:regulation | job:temporal | job:transmutation | physics:acoustic | physics:network | physics:temporal | resolution:field-recompose | sensor:audio | sensor:breath | sensor:haptics | sensor:microphone | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
43,isochronic-pacer,The Isochronic Pacer Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,playable,composition-pass,seeded,hold,hold,entanglement,high,field-recompose,reorientation,review,yes,review,no,9,composition-sensitive,low-heat,medium,high,medium,low,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-low | heat:low-heat | input:breath | input:hold | input:observe | job:regulation | job:transmutation | physics:acoustic | physics:network | physics:thermal | resolution:field-recompose | sensor:audio | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
