atom_number,atom_id,atom_name,series_number,series_name,review_lane,proposed_hero_grade,structural_score,repetition_cluster_size,refinement_priority,dominant_verb_seed,counterforce_type_seed,resolution_class_seed,remediation_axis,next_move
615,tangent-handle-retract,The Tangent Handle Engine,62,The Bezier Curve,composition-pass,playable,6,59,high,guide,constraint,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
617,u-turn-slingshot,The U-Turn Slingshot Engine,62,The Bezier Curve,composition-pass,playable,6,59,high,guide,constraint,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
629,non-newtonian-floor,The Non-Newtonian Floor Engine,63,The Elastic Yield,composition-pass,playable,6,59,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
631,kinetic-siphon-transfer,The Kinetic Siphon Engine,64,The Momentum Theft,composition-pass,playable,6,59,high,guide,entanglement,state-morph,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
635,trebuchet-counterweight,The Trebuchet Engine,64,The Momentum Theft,composition-pass,playable,6,59,high,guide,distortion,state-morph,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
638,angular-theft-stabilize,The Angular Theft Engine,64,The Momentum Theft,composition-pass,playable,6,59,high,guide,entanglement,state-morph,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
653,vortex-core-stillness,The Vortex Core Engine,66,The Centrifuge,composition-pass,playable,6,59,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
654,gyroscopic-stabilizer,The Gyroscopic Stabilizer Engine,66,The Centrifuge,composition-pass,playable,6,59,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
664,ignition-spark-strike,The Ignition Spark Engine,67,The Harmonious Friction,composition-pass,playable,6,59,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
666,traction-loss-grit,The Traction Loss Engine,67,The Harmonious Friction,composition-pass,playable,6,59,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
679,tension-strut-tensegrity,The Tension Strut Engine,68,The Counter-Balance,composition-pass,playable,6,59,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
686,keystone-removal,The Keystone Removal Engine,69,The Minimum Effective Dose,composition-pass,playable,6,59,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
692,chinese-finger-trap,The Chinese Finger Trap Engine,70,The Wu Wei Master,composition-pass,playable,6,59,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
608,false-target-matador,The False Target Engine,61,The Aikido Redirect,composition-pass,playable,6,55,high,trigger,distortion,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
609,frictionless-plane,The Frictionless Plane Engine,61,The Aikido Redirect,composition-pass,playable,6,55,high,trigger,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
618,intersection-overpass,The Intersection Overpass Engine,62,The Bezier Curve,composition-pass,playable,6,55,high,trigger,weight,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
622,bowed-reed,The Bowed Reed Engine,63,The Elastic Yield,composition-pass,playable,6,55,high,trigger,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
626,shock-absorber-sponge,The Shock Absorber Engine,63,The Elastic Yield,composition-pass,playable,6,55,high,trigger,paradox,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
644,path-least-resistance,The Path of Least Resistance Engine,65,The Slipstream,composition-pass,playable,6,55,high,trigger,entanglement,state-morph,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
661,black-ice-grip,The Black Ice Engine,67,The Harmonious Friction,composition-pass,playable,6,55,high,trigger,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
667,cleaving-wedge-break,The Cleaving Wedge Engine,67,The Harmonious Friction,composition-pass,playable,6,55,high,trigger,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
669,micro-adjustment-steer,The Micro-Adjustment Engine,67,The Harmonious Friction,composition-pass,playable,6,55,high,trigger,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
673,ballast-drop-gravity,The Ballast Drop Engine,68,The Counter-Balance,composition-pass,playable,6,55,high,trigger,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
682,one-pixel-tap,The One-Pixel Tap Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,trigger,constraint,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
683,lead-domino-cascade,The Lead Domino Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,trigger,constraint,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
687,boiling-point-degree,The Boiling Point Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,trigger,pressure,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
688,acupuncture-needle,The Acupuncture Needle Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,trigger,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
689,trim-tab-correction,The Trim Tab Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,trigger,constraint,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
696,permeable-membrane,The Permeable Membrane Engine,70,The Wu Wei Master,composition-pass,playable,6,55,high,trigger,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
699,ghost-node-disidentify,The Ghost Node Engine,70,The Wu Wei Master,composition-pass,playable,6,55,high,trigger,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
601,linear-strike-redirect,The Linear Strike Engine,61,The Aikido Redirect,composition-pass,playable,6,35,high,redirect,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
633,inelastic-latch-fuse,The Inelastic Latch Engine,64,The Momentum Theft,composition-pass,playable,6,35,high,redirect,entanglement,state-morph,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
657,flywheel-momentum,The Flywheel Engine,66,The Centrifuge,composition-pass,playable,6,35,high,redirect,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
668,sounding-board-ricochet,The Sounding Board Engine,67,The Harmonious Friction,composition-pass,playable,6,35,high,redirect,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
672,counter-steer-skid,The Counter-Steer Engine,68,The Counter-Balance,composition-pass,playable,6,35,high,redirect,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
676,outrigger-expand,The Outrigger Engine,68,The Counter-Balance,composition-pass,playable,6,35,high,redirect,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
690,apex-economy,The Apex Economy Engine,69,The Minimum Effective Dose,composition-pass,playable,6,35,high,redirect,constraint,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
662,brake-caliper-stop,The Brake Caliper Engine,67,The Harmonious Friction,composition-pass,playable,7,30,high,reshape,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
610,kinetic-conversion-turbine,The Kinetic Conversion Engine,61,The Aikido Redirect,composition-pass,playable,7,28,high,hold,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into high-priority composition pass
620,master-spline-smooth,The Master Spline Engine,62,The Bezier Curve,composition-pass,playable,7,28,high,hold,weight,seal,"Break sameness by counterforce and closure, not by theme naming",Route into high-priority composition pass
624,viscoelastic-creep,The Viscoelastic Creep Engine,63,The Elastic Yield,composition-pass,playable,7,28,high,hold,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into high-priority composition pass
627,shape-memory-recall,The Shape Memory Engine,63,The Elastic Yield,composition-pass,playable,7,28,high,hold,paradox,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into high-priority composition pass
655,particle-separation,The Particle Separation Engine,66,The Centrifuge,composition-pass,playable,7,28,high,hold,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into high-priority composition pass
623,slingshot-comeback,The Slingshot Comeback Engine,63,The Elastic Yield,composition-pass,playable,6,17,high,witness,distortion,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
678,delayed-shift-wait,The Delayed Shift Engine,68,The Counter-Balance,composition-pass,playable,6,17,high,witness,weight,seal,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
685,unfilled-space-silence,The Unfilled Space Engine,69,The Minimum Effective Dose,composition-pass,playable,6,17,high,witness,entanglement,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
691,muddy-water-settle,The Muddy Water Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,witness,pressure,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
693,unfed-fire-starve,The Unfed Fire Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,witness,entanglement,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
694,mutual-annihilation,The Mutual Annihilation Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,witness,pressure,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
695,false-alarm-ignore,The False Alarm Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,witness,pressure,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
697,tangled-knot-slack,The Tangled Knot Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,witness,pressure,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
698,vacuum-pull-magnetism,The Vacuum Pull Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,witness,entanglement,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
700,apex-wu-wei,The Apex Wu Wei Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,witness,pressure,seal,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
605,kinetic-return-curve,The Kinetic Return Engine,61,The Aikido Redirect,composition-pass,playable,6,13,high,trace,paradox,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
625,tension-net-weave,The Tension Net Engine,63,The Elastic Yield,composition-pass,playable,6,13,high,trace,entanglement,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
677,phase-cancellation-wave,The Phase Cancellation Engine,68,The Counter-Balance,composition-pass,playable,6,13,high,trace,weight,seal,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
612,sawtooth-spline,The Sawtooth Spline Engine,62,The Bezier Curve,composition-pass,playable,7,12,high,clear,entanglement,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
613,binary-fork-merge,The Binary Fork Engine,62,The Bezier Curve,composition-pass,playable,6,12,high,reshape,entanglement,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
628,impact-radius-release,The Impact Radius Engine,63,The Elastic Yield,composition-pass,playable,6,12,high,reshape,entanglement,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
642,laminar-flow-smooth,The Laminar Flow Engine,65,The Slipstream,composition-pass,playable,7,12,high,clear,entanglement,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
684,resonant-frequency-shatter,The Resonant Frequency Engine,69,The Minimum Effective Dose,composition-pass,playable,7,12,high,clear,constraint,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
607,multiple-fronts-flow,The Multiple Fronts Engine,61,The Aikido Redirect,composition-pass,playable,7,11,high,trace,weight,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
614,forced-detour-arc,The Forced Detour Engine,62,The Bezier Curve,composition-pass,playable,7,11,high,trace,weight,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
616,asymptote-collision,The Asymptote Engine,62,The Bezier Curve,composition-pass,playable,7,11,high,guide,distortion,state-morph,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
636,valve-redirect-thrust,The Valve Redirect Engine,64,The Momentum Theft,composition-pass,playable,7,11,high,trace,entanglement,state-morph,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
650,zero-drag-teardrop,The Zero-Drag Engine,65,The Slipstream,composition-pass,playable,7,11,high,trace,constraint,seal,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
681,archimedes-lever,The Archimedes Lever Engine,69,The Minimum Effective Dose,composition-pass,playable,7,11,high,guide,constraint,field-recompose,Tighten hero occupancy and consequence before any promotion,Route into high-priority composition pass
630,invincible-membrane,The Invincible Membrane Engine,63,The Elastic Yield,composition-pass,playable,7,6,medium,witness,paradox,seal,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
637,whip-crack-propagation,The Whip Crack Engine,64,The Momentum Theft,composition-pass,playable,7,6,medium,witness,distortion,state-morph,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
640,absolute-robbery,The Absolute Robbery Engine,64,The Momentum Theft,composition-pass,playable,6,5,medium,hold,distortion,seal,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
674,micro-weight-calibrate,The Micro-Weight Engine,68,The Counter-Balance,composition-pass,playable,7,5,medium,reshape,distortion,seal,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
619,tension-catenary,The Tension Catenary Engine,62,The Bezier Curve,composition-pass,playable,7,4,medium,hold,pressure,field-recompose,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
649,buoyant-ascent-release,The Buoyant Ascent Engine,65,The Slipstream,composition-pass,playable,7,4,medium,hold,entanglement,field-recompose,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
652,angular-velocity-shed,The Angular Velocity Engine,66,The Centrifuge,composition-pass,playable,7,3,medium,redirect,entanglement,seal,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
621,trampoline-rebound,The Trampoline Engine,63,The Elastic Yield,composition-pass,playable,6,1,medium,clear,weight,field-recompose,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
648,phase-alignment-gate,The Phase Alignment Engine,65,The Slipstream,composition-pass,playable,7,1,medium,clear,constraint,field-recompose,Refine by sharpening primary law and resolution aftermath,Hold for later collection-specific polish
670,apex-carve-slalom,The Apex Carve Engine,67,The Harmonious Friction,hero-pass,hero-grade,8,3,low,guide,entanglement,seal,Protect outlier quality and use as seed for collection identity,Shortlist for manual hero polish and potential promotion
671,pendulum-dampener,The Pendulum Dampener Engine,68,The Counter-Balance,hero-pass,hero-grade,8,3,low,hold,weight,seal,Protect outlier quality and use as seed for collection identity,Shortlist for manual hero polish and potential promotion
663,grindstone-edge,The Grindstone Engine,67,The Harmonious Friction,hero-pass,hero-grade,8,1,low,guide,paradox,seal,Protect outlier quality and use as seed for collection identity,Shortlist for manual hero polish and potential promotion
