atom_number,atom_id,atom_name,collection_number,series_number,series_name,therapeutic_jobs,physics_tags,primary_differentiation_axis,narrative_risk,closure_upgrade,cluster_rule
459,mirror-flip-hypocrisy,The Mirror Flip Engine,5,46,The Blind Spot,perspective | agency | focus,optical | subtractive | thermal,Differentiate by what becomes legible after the drag,High risk of leaning on copy; keep the transformation mechanical and visible,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
472,finger-trap,The Finger Trap Engine,5,48,The Klein Bottle,boundary | identity | release,network | fluid | optical,"Differentiate by translation, routing, or relationship mapping after the drag",High risk of leaning on copy; keep the transformation mechanical and visible,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
491,magnetic-embrace,The Magnetic Embrace Engine,5,50,The Shadow Integration,identity | boundary | connection,optical | gravitational | subtractive,Differentiate by what becomes legible after the drag,High risk of leaning on copy; keep the transformation mechanical and visible,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
497,chimera-fusion,The Chimera Fusion Engine,5,50,The Shadow Integration,identity | connection | temporal,optical | gravitational | fluid,Differentiate by what becomes legible after the drag,High risk of leaning on copy; keep the transformation mechanical and visible,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
498,kinetic-conversion,The Kinetic Conversion Engine,5,50,The Shadow Integration,identity | connection | temporal,gravitational | subtractive | optical,Differentiate by what becomes legible after the drag,High risk of leaning on copy; keep the transformation mechanical and visible,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
547,stalagmite-build,The Stalagmite Build Engine,6,55,The Hourglass Inversion,release | agency | boundary,gravitational | temporal | fluid,Differentiate by where the flow settles after the drag,Risk of generic empowerment; the post-drag state must feel specific,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
552,kinetic-transfer-pulse,The Kinetic Transfer Engine,6,56,The Ancestral Tether,temporal | boundary | perspective,network | temporal | gravitational,"Differentiate by translation, routing, or relationship mapping after the drag",High risk of leaning on copy; keep the transformation mechanical and visible,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
574,compost-grind,The Compost Grind Engine,6,58,The Ephemeral Bloom,identity | regulation | release,gravitational | fluid | network,"Differentiate by translation, routing, or relationship mapping after the drag",High risk of leaning on copy; keep the transformation mechanical and visible,Strengthen the post-drag state change until the aftermath is unmistakable,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
581,blind-architect-stack,The Blind Architect Engine,6,59,The Legacy Seed,boundary | agency | connection,structural | gravitational | optical,Differentiate by what gets assembled or stabilized after the drag,Risk of generic empowerment; the post-drag state must feel specific,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
584,catalyst-drop-grid,The Catalyst Drop Engine,6,59,The Legacy Seed,release | boundary | connection,network | structural | gravitational,Differentiate by what gets assembled or stabilized after the drag,Risk of generic empowerment; the post-drag state must feel specific,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
602,heavy-momentum-throw,The Heavy Momentum Engine,7,61,The Aikido Redirect,boundary | temporal | agency,gravitational | temporal | thermal,"Differentiate by lock point, orbit point, or resting point",Risk of generic empowerment; the post-drag state must feel specific,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
603,corner-trap-pivot,The Corner Trap Engine,7,61,The Aikido Redirect,boundary | regulation | release,network | structural | thermal,Differentiate by what gets assembled or stabilized after the drag,Risk of generic empowerment; the post-drag state must feel specific,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
606,rigid-stance-sidestep,The Rigid Stance Engine,7,61,The Aikido Redirect,temporal | regulation | release,network | gravitational | temporal,"Differentiate by translation, routing, or relationship mapping after the drag",Moderate risk; protect distinct consequence over explanation,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
611,sharp-corner-handle,The Sharp Corner Engine,7,62,The Bezier Curve,agency | release | transmutation,network | gravitational,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
615,tangent-handle-retract,The Tangent Handle Engine,7,62,The Bezier Curve,agency | identity | release,gravitational | structural,Differentiate by what gets assembled or stabilized after the drag,High risk of leaning on copy; keep the transformation mechanical and visible,Vary the resolution artifact so discrete drag endings do not all land as the same seal,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
617,u-turn-slingshot,The U-Turn Slingshot Engine,7,62,The Bezier Curve,agency | boundary | identity,gravitational | structural | fluid,Differentiate by what gets assembled or stabilized after the drag,High risk of leaning on copy; keep the transformation mechanical and visible,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
629,non-newtonian-floor,The Non-Newtonian Floor Engine,7,63,The Elastic Yield,identity | perspective | temporal,gravitational | fluid | network,"Differentiate by translation, routing, or relationship mapping after the drag",High risk of leaning on copy; keep the transformation mechanical and visible,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
631,kinetic-siphon-transfer,The Kinetic Siphon Engine,7,64,The Momentum Theft,regulation | agency | boundary,gravitational | network | thermal,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,Strengthen the post-drag state change until the aftermath is unmistakable,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
635,trebuchet-counterweight,The Trebuchet Engine,7,64,The Momentum Theft,agency | boundary | regulation,gravitational | network | optical,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,Strengthen the post-drag state change until the aftermath is unmistakable,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
638,angular-theft-stabilize,The Angular Theft Engine,7,64,The Momentum Theft,agency | boundary | regulation,network | gravitational | thermal,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,Strengthen the post-drag state change until the aftermath is unmistakable,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
653,vortex-core-stillness,The Vortex Core Engine,7,66,The Centrifuge,regulation | boundary | release,gravitational | network | subtractive,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,Vary the resolution artifact so discrete drag endings do not all land as the same seal,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
654,gyroscopic-stabilizer,The Gyroscopic Stabilizer Engine,7,66,The Centrifuge,boundary | regulation | release,network | gravitational | subtractive,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,Vary the resolution artifact so discrete drag endings do not all land as the same seal,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
664,ignition-spark-strike,The Ignition Spark Engine,7,67,The Harmonious Friction,boundary | agency | release,network | structural | subtractive,Differentiate by what gets assembled or stabilized after the drag,Risk of generic empowerment; the post-drag state must feel specific,Vary the resolution artifact so discrete drag endings do not all land as the same seal,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
666,traction-loss-grit,The Traction Loss Engine,7,67,The Harmonious Friction,release | boundary | agency,network | acoustic | gravitational,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,Vary the resolution artifact so discrete drag endings do not all land as the same seal,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
679,tension-strut-tensegrity,The Tension Strut Engine,7,68,The Counter-Balance,agency | boundary | temporal,gravitational | network,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,Vary the resolution artifact so discrete drag endings do not all land as the same seal,"Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
686,keystone-removal,The Keystone Removal Engine,7,69,The Minimum Effective Dose,agency | regulation | boundary,gravitational | structural | network,Differentiate by what gets assembled or stabilized after the drag,Risk of generic empowerment; the post-drag state must feel specific,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
692,chinese-finger-trap,The Chinese Finger Trap Engine,7,70,The Wu Wei Master,regulation | release | boundary,network | thermal | fluid,"Differentiate by translation, routing, or relationship mapping after the drag",Risk of generic empowerment; the post-drag state must feel specific,"Push the recomposition farther so the whole frame changes, not just the dragged object","Differentiate discrete drag atoms by what gets built, aligned, translated, or revealed after the drag, not by swapping labels on the same mechanic."
