number,id,name,collection_number,series_number,series_name,render_mode,default_scale,surfaces,device_requirements,breath_coupling,continuous,has_resolution,structural_score,triage_tier,complexity_band,dominant_inputs,sensory_profile,resolution_profile,therapeutic_jobs,physics_tags,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags
11,wave-collapse,The Wave Collapse Engine,1,2,The Quantum Mechanics,webgl,full,tappable|holdable|breathable,haptics,drives,true,true,10,hero-candidate,moderate,hold|tap|breath,visual|touch|breath|haptics,field-recompose,focus|perspective|release,optical|network,low-heat,signature,high,high,medium,1,low,,complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:breath|input:hold|input:tap|job:focus|job:perspective|job:release|physics:network|physics:optical|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
12,schrodinger-box,The Schrödinger Box Engine,1,2,The Quantum Mechanics,dom,focus,tappable|holdable|observable,haptics,none,false,true,6,composition-sensitive,moderate,hold|tap|observe,visual|touch|haptics,field-recompose,focus|agency|identity,,broad,medium,low,medium,medium,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-medium|heat:broad|input:hold|input:observe|input:tap|job:agency|job:focus|job:identity|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
13,double-slit,The Double Slit Engine,1,2,The Quantum Mechanics,webgl,full,tappable|observable,,none,false,false,4,composition-sensitive,moderate,tap|observe,visual|touch,none,focus|identity|temporal,fluid|temporal,low-heat,low,medium,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate|fit:insight-high|fit:journey-medium|fit:navicue-low|fit:practice-medium|heat:low-heat|input:observe|input:tap|job:focus|job:identity|job:temporal|physics:fluid|physics:temporal|resolution:none|sensor:touch|sensor:visual
14,many-worlds,The Many-Worlds Engine,1,2,The Quantum Mechanics,svg,field,swipeable|draggable,haptics,none,false,true,6,composition-sensitive,simple,swipe|drag,visual|touch|haptics,field-recompose,temporal|agency|focus,temporal|thermal|topological,low-heat,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|input:swipe|job:agency|job:focus|job:temporal|physics:temporal|physics:thermal|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
15,entanglement,The Entanglement Engine,1,2,The Quantum Mechanics,canvas,field,draggable|observable,haptics,modulates,true,false,6,composition-sensitive,simple,drag|breath|observe,visual|touch|breath|haptics,loop,perspective|connection|focus,optical|network,low-heat,medium,high,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-medium|heat:low-heat|input:breath|input:drag|input:observe|job:connection|job:focus|job:perspective|physics:network|physics:optical|resolution:loop|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
16,uncertainty-blur,The Uncertainty Blur Engine,1,2,The Quantum Mechanics,dom,full,pinchable|observable,haptics,none,true,false,6,composition-sensitive,simple,pinch|observe,visual|touch|haptics,loop,focus|perspective|agency,,low-heat,medium,high,medium,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-medium|heat:low-heat|input:observe|input:pinch|job:agency|job:focus|job:perspective|resolution:loop|sensor:haptics|sensor:touch|sensor:visual
17,quantum-tunnel,The Quantum Tunnel Engine,1,2,The Quantum Mechanics,canvas,focus,draggable|holdable,haptics,none,false,true,5,composition-sensitive,simple,drag|hold,visual|touch|haptics,field-recompose,boundary|agency|focus,structural|temporal|topological,low-heat,medium,low,medium,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|input:hold|job:agency|job:boundary|job:focus|physics:structural|physics:temporal|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
18,zero-point-field,The Zero-Point Field Engine,1,2,The Quantum Mechanics,canvas,full,holdable|pressure-sensitive|tappable,haptics|pressure,none,true,false,8,hero-candidate,moderate,hold|tap,visual|touch|haptics|pressure,loop,focus|regulation,thermal|subtractive,low-heat,high,high,medium,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-low|heat:low-heat|input:hold|input:tap|job:focus|job:regulation|physics:subtractive|physics:thermal|resolution:loop|sensor:haptics|sensor:pressure|sensor:touch|sensor:visual
19,retrocausal,The Retrocausal Engine,1,2,The Quantum Mechanics,dom,full,scrubable|draggable,haptics,none,true,true,8,hero-candidate,simple,scrub|drag,visual|touch|haptics,field-recompose,temporal|focus|identity,temporal,low-heat,high,high,high,high,1,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:low-heat|input:drag|input:scrub|job:focus|job:identity|job:temporal|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
20,holographic,The Holographic Engine,1,2,The Quantum Mechanics,webgl,full,pinchable|observable,,none,true,false,5,composition-sensitive,moderate,pinch|observe,visual|touch,loop,focus|perspective,topological,low-heat,low,high,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-low|fit:practice-medium|heat:low-heat|input:observe|input:pinch|job:focus|job:perspective|physics:topological|resolution:loop|sensor:touch|sensor:visual
21,l-system-branching,The L-System Branching Engine,1,3,The Biomimetic Algorithms,canvas,full,tappable|breathable|observable,haptics,drives,true,false,8,hero-candidate,moderate,tap|breath|observe,visual|touch|breath|haptics,loop,agency|boundary|regulation,topological|gravitational|network,low-heat,high,high,medium,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-low|heat:low-heat|input:breath|input:observe|input:tap|job:agency|job:boundary|job:regulation|physics:gravitational|physics:network|physics:topological|resolution:loop|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
22,boids-flocking,The Boids Flocking Engine,1,3,The Biomimetic Algorithms,canvas,full,draggable|tappable|holdable,haptics,modulates,true,false,8,hero-candidate,moderate,drag|hold|tap|breath,visual|touch|breath|haptics,loop,boundary|agency|identity,network,low-heat,high,medium,high,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate|fit:insight-high|fit:journey-medium|fit:navicue-high|fit:practice-low|heat:low-heat|input:breath|input:drag|input:hold|input:tap|job:agency|job:boundary|job:identity|physics:network|resolution:loop|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
23,composting,The Composting Engine,1,3,The Biomimetic Algorithms,svg,field,tappable|draggable,haptics,none,false,true,6,composition-sensitive,simple,drag|tap,visual|touch|haptics,field-recompose,boundary|agency|regulation,network|optical,high-heat,medium,medium,low,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:drag|input:tap|job:agency|job:boundary|job:regulation|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
24,mycelial-routing,The Mycelial Routing Engine,1,3,The Biomimetic Algorithms,webgl,full,tappable|breathable|observable,haptics,drives,true,false,8,hero-candidate,moderate,tap|breath|observe,visual|touch|breath|haptics,loop,agency|boundary|connection,network|optical,low-heat,high,medium,medium,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate|fit:insight-medium|fit:journey-medium|fit:navicue-high|fit:practice-low|heat:low-heat|input:breath|input:observe|input:tap|job:agency|job:boundary|job:connection|physics:network|physics:optical|resolution:loop|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
25,symbiosis,The Symbiosis Engine,1,3,The Biomimetic Algorithms,canvas,field,scrubable|breathable|observable,haptics,drives,true,false,7,composition-sensitive,moderate,scrub|breath|observe,visual|touch|breath|haptics,loop,regulation|agency|boundary,fluid|network,low-heat,medium,high,medium,low,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-low|heat:low-heat|input:breath|input:observe|input:scrub|job:agency|job:boundary|job:regulation|physics:fluid|physics:network|resolution:loop|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
26,pruning,The Pruning Engine,1,3,The Biomimetic Algorithms,svg,field,swipeable|tappable,haptics,none,false,true,6,composition-sensitive,simple,swipe|tap,visual|touch|haptics,field-recompose,boundary|agency|regulation,fluid|network|topological,high-heat,medium,medium,low,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:swipe|input:tap|job:agency|job:boundary|job:regulation|physics:fluid|physics:network|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
27,dormancy,The Dormancy Engine,1,3,The Biomimetic Algorithms,dom,full,holdable|observable,haptics,none,false,false,5,composition-sensitive,simple,hold|observe,visual|touch|haptics,none,identity|regulation|agency,network|gravitational|subtractive,broad,low,medium,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-low|fit:practice-medium|heat:broad|input:hold|input:observe|job:agency|job:identity|job:regulation|physics:gravitational|physics:network|physics:subtractive|resolution:none|sensor:haptics|sensor:touch|sensor:visual
28,ecosystem-balancer,The Ecosystem Balancer,1,3,The Biomimetic Algorithms,canvas,full,draggable|tappable,haptics,modulates,true,true,9,hero-candidate,simple,drag|tap|breath,visual|touch|breath|haptics,field-recompose,regulation|agency|boundary,fluid|network|optical,high-heat,signature,high,medium,high,1,low,,complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-signature|fit:practice-high|heat:high-heat|input:breath|input:drag|input:tap|job:agency|job:boundary|job:regulation|physics:fluid|physics:network|physics:optical|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
29,pollination,The Pollination Engine,1,3,The Biomimetic Algorithms,canvas,field,draggable|tappable,haptics,modulates,false,true,7,composition-sensitive,simple,drag|tap|breath,visual|touch|breath|haptics,field-recompose,agency|boundary|regulation,fluid|network,high-heat,medium,medium,low,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:breath|input:drag|input:tap|job:agency|job:boundary|job:regulation|physics:fluid|physics:network|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
30,erosion,The Erosion Engine,1,3,The Biomimetic Algorithms,webgl,focus,holdable|observable,haptics,none,true,true,6,composition-sensitive,moderate,hold|observe,visual|touch|haptics,field-recompose,regulation|agency|boundary,network|fluid|temporal,low-heat,medium,high,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:hold|input:observe|job:agency|job:boundary|job:regulation|physics:fluid|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
31,sensory-deprivation,The Sensory Deprivation Engine,1,4,The Via Negativa,dom,full,observable,,none,false,true,5,composition-sensitive,simple,observe,visual,field-recompose,boundary|focus|agency,subtractive|optical|temporal,low-heat,medium,low,high,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:low-heat|input:observe|job:agency|job:boundary|job:focus|physics:optical|physics:subtractive|physics:temporal|resolution:field-recompose|sensor:visual
32,un-naming,The Un-Naming Engine,1,4,The Via Negativa,canvas,full,drawable|swipeable,haptics,none,false,true,7,composition-sensitive,simple,draw|swipe,visual|touch|haptics,field-recompose,focus|identity|agency,subtractive|optical,low-heat,medium,low,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:low-heat|input:draw|input:swipe|job:agency|job:focus|job:identity|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
33,figure-ground-reversal,The Figure-Ground Reversal Engine,1,4,The Via Negativa,canvas,full,holdable|observable,haptics,none,true,true,8,hero-candidate,simple,hold|observe,visual|touch|haptics,field-recompose,focus|identity|regulation,subtractive|optical,high-heat,high,high,high,high,7,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:hold|input:observe|job:focus|job:identity|job:regulation|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
34,vacuum-seal,The Vacuum Seal Engine,1,4,The Via Negativa,canvas,full,holdable|draggable,haptics,none,true,true,8,hero-candidate,simple,drag|hold,visual|touch|haptics,seal,boundary|agency|focus,subtractive|optical|thermal,high-heat,high,medium,high,high,9,low,,complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-high|fit:practice-high|heat:high-heat|input:drag|input:hold|job:agency|job:boundary|job:focus|physics:optical|physics:subtractive|physics:thermal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
35,dark-matter,The Dark Matter Engine,1,4,The Via Negativa,canvas,full,holdable|observable,haptics,modulates,true,false,7,composition-sensitive,simple,hold|breath|observe,visual|touch|breath|haptics,loop,agency|focus|identity,gravitational|optical|subtractive,low-heat,medium,medium,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-medium|heat:low-heat|input:breath|input:hold|input:observe|job:agency|job:focus|job:identity|physics:gravitational|physics:optical|physics:subtractive|resolution:loop|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
36,static-clear,The Static Clear Engine,1,4,The Via Negativa,canvas,full,drawable|swipeable,haptics,none,false,true,7,composition-sensitive,simple,draw|swipe,visual|touch|haptics,state-morph,focus|identity|agency,subtractive|optical,low-heat,medium,low,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:low-heat|input:draw|input:swipe|job:agency|job:focus|job:identity|physics:optical|physics:subtractive|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
37,apneic-pause,The Apneic Pause Engine,1,4,The Via Negativa,canvas,full,holdable|breathable|observable,haptics,drives,true,false,8,hero-candidate,moderate,hold|breath|observe,visual|touch|breath|haptics,loop,focus|agency|identity,subtractive|optical,low-heat,high,medium,high,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate|fit:insight-high|fit:journey-medium|fit:navicue-high|fit:practice-low|heat:low-heat|input:breath|input:hold|input:observe|job:agency|job:focus|job:identity|physics:optical|physics:subtractive|resolution:loop|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
38,format-reset,The Format/Reset Engine,1,4,The Via Negativa,canvas,full,holdable,haptics,none,false,true,6,composition-sensitive,simple,hold,visual|touch|haptics,seal,boundary|agency|focus,subtractive|optical|temporal,high-heat,medium,low,medium,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:agency|job:boundary|job:focus|physics:optical|physics:subtractive|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
39,noise-gate,The Noise Gate Engine,1,4,The Via Negativa,canvas,full,draggable|scrubable,haptics,none,true,true,8,hero-candidate,simple,scrub|drag,visual|touch|haptics,field-recompose,agency|focus|identity,subtractive|acoustic|optical,low-heat,high,medium,high,high,6,low,,complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-high|fit:practice-high|heat:low-heat|input:drag|input:scrub|job:agency|job:focus|job:identity|physics:acoustic|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
40,singularity,The Singularity Engine,1,4,The Via Negativa,canvas,full,holdable|pinchable,haptics,modulates,true,true,9,hero-candidate,simple,pinch|hold|breath,visual|touch|breath|haptics,seal,agency|focus|identity,subtractive|gravitational|optical,high-heat,signature,medium,high,high,1,low,,complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-signature|fit:practice-high|heat:high-heat|input:breath|input:hold|input:pinch|job:agency|job:focus|job:identity|physics:gravitational|physics:optical|physics:subtractive|resolution:seal|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
41,phase-lock,The Phase Lock Engine,1,5,The Chrono-Acoustic Drives,audio,field,draggable|observable,haptics|audio-output,none,true,true,8,hero-candidate,moderate,drag|observe,visual|touch|haptics|audio,field-recompose,transmutation|regulation,acoustic|network,low-heat,high,high,medium,medium,1,low,,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-medium|heat:low-heat|input:drag|input:observe|job:regulation|job:transmutation|physics:acoustic|physics:network|resolution:field-recompose|sensor:audio|sensor:haptics|sensor:touch|sensor:visual
42,vagal-hum,The Vagal Hum Engine,1,5,The Chrono-Acoustic Drives,audio,focus,voice|breathable|observable,haptics|microphone|audio-output,drives,true,true,9,composition-sensitive,rich,voice|breath|observe,visual|breath|haptics|microphone|audio,field-recompose,transmutation|regulation|temporal,acoustic|network|temporal,low-heat,medium,medium,high,low,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:rich|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-low|heat:low-heat|input:breath|input:observe|input:voice|job:regulation|job:temporal|job:transmutation|physics:acoustic|physics:network|physics:temporal|resolution:field-recompose|sensor:audio|sensor:breath|sensor:haptics|sensor:microphone|sensor:visual
43,isochronic-pacer,The Isochronic Pacer Engine,1,5,The Chrono-Acoustic Drives,audio,focus,holdable|breathable|observable,haptics|audio-output,modulates,true,true,9,composition-sensitive,moderate,hold|breath|observe,visual|touch|breath|haptics|audio,field-recompose,regulation|transmutation,acoustic|network|thermal,low-heat,medium,high,medium,low,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-low|heat:low-heat|input:breath|input:hold|input:observe|job:regulation|job:transmutation|physics:acoustic|physics:network|physics:thermal|resolution:field-recompose|sensor:audio|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
44,cymatic-coherence,The Cymatic Coherence Engine,1,5,The Chrono-Acoustic Drives,canvas,full,holdable|breathable|observable,haptics,modulates,true,true,10,hero-candidate,moderate,hold|breath|observe,visual|touch|breath|haptics,field-recompose,regulation|transmutation,acoustic|network|topological,low-heat,signature,high,medium,medium,1,low,,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:breath|input:hold|input:observe|job:regulation|job:transmutation|physics:acoustic|physics:network|physics:topological|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
45,audio-zoom,The Audio Zoom Engine,1,5,The Chrono-Acoustic Drives,audio,full,draggable|holdable|observable,haptics|audio-output,none,true,true,10,hero-candidate,moderate,drag|hold|observe,visual|touch|haptics|audio,field-recompose,focus|transmutation|boundary,acoustic|network|optical,low-heat,signature,medium,high,low,1,low,,complexity:moderate|fit:insight-high|fit:journey-medium|fit:navicue-signature|fit:practice-low|heat:low-heat|input:drag|input:hold|input:observe|job:boundary|job:focus|job:transmutation|physics:acoustic|physics:network|physics:optical|resolution:field-recompose|sensor:audio|sensor:haptics|sensor:touch|sensor:visual
46,brown-noise,The Brown Noise Engine,1,5,The Chrono-Acoustic Drives,audio,full,draggable|holdable|observable,haptics|audio-output,modulates,true,true,11,hero-candidate,moderate,drag|hold|breath|observe,visual|touch|breath|haptics|audio,field-recompose,transmutation|boundary|focus,acoustic|fluid|gravitational,low-heat,signature,medium,medium,low,1,low,,complexity:moderate|fit:insight-medium|fit:journey-medium|fit:navicue-signature|fit:practice-low|heat:low-heat|input:breath|input:drag|input:hold|input:observe|job:boundary|job:focus|job:transmutation|physics:acoustic|physics:fluid|physics:gravitational|resolution:field-recompose|sensor:audio|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
47,tempo-override,The Tempo Override Engine,1,5,The Chrono-Acoustic Drives,audio,full,tappable|observable,haptics,none,true,true,8,hero-candidate,simple,tap|observe,visual|touch|haptics,field-recompose,agency|regulation|transmutation,acoustic|gravitational|network,high-heat,high,high,medium,high,1,low,,complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:observe|input:tap|job:agency|job:regulation|job:transmutation|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
