atom_number,atom_id,atom_name,collection_number,series_number,series_name,therapeutic_jobs,physics_tags,primary_differentiation_axis,ignition_law,narrative_risk,closure_upgrade,cluster_rule
182,no-self,The No-Self Engine,2,19,The Mystic & Infinite Player,identity | perspective | agency,acoustic | optical,Differentiate by what becomes visible after contact,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.",Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
213,color-deconstruct,The Color Deconstruct Engine,3,22,The Predictive Override,agency | boundary | focus,optical | network | subtractive,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
234,dmn-deactivation,The DMN Deactivation Engine,3,24,The Net of Indra,connection | identity | agency,network | acoustic | fluid,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.",Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
235,echo-chamber,The Echo Chamber Engine,3,24,The Net of Indra,connection | agency | boundary,network | acoustic | gravitational,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
252,armor-drop,The Armor Drop Engine,3,26,The Identity Decoupling,release | boundary | identity,gravitational | network,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
276,metamorphosis,The Metamorphosis Engine,3,28,The Impermanence Engine,transmutation | connection | regulation,thermal | network | structural,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it",Moderate risk. Protect distinct consequence over explanation.,Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
317,amplitude-surge,The Amplitude Surge Engine,4,32,The Cymatic Engine,boundary | agency | connection,acoustic | optical | topological,Differentiate by what becomes visible after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
327,ripple-effect,The Ripple Effect Engine,4,33,The Catalyst Web,boundary,network | gravitational | fluid,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
330,orbit-stabilizer,The Orbit Stabilizer Engine,4,33,The Catalyst Web,boundary,gravitational | network | structural,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
345,carbon-layer,The Carbon Layer Engine,4,35,The Pressure Vessel,regulation | agency | focus,thermal | fluid | temporal,"Differentiate by where the field floods, clears, or settles after contact","Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
382,pendulum-swing,The Pendulum Swing Engine,4,39,The Momentum Wheel,agency | boundary | temporal,gravitational | fluid | subtractive,"Differentiate by where the field floods, clears, or settles after contact","Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
398,hammer-forge,The Hammer Forge Engine,4,40,The Synthesis Forge,transmutation | release | temporal,fluid | thermal | network,Differentiate by what gets routed or connected after contact,Tap should ignite a real state change with a visible memory trace,Moderate risk. Protect distinct consequence over explanation.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
404,multiple-sources,The Multiple Sources Engine,5,41,The Shadow Caster,identity | perspective | temporal,optical | acoustic | gravitational,Differentiate by what becomes visible after contact,"Tap should cause a decisive reveal, inversion, or reframing event","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
410,luminous-core,The Luminous Core Engine,5,41,The Shadow Caster,identity | agency | boundary,optical | network | gravitational,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
427,magnetic-floor,The Magnetic Floor Engine,5,43,The Gravity Inverter,boundary | regulation | agency,gravitational | network | subtractive,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
428,zero-g-release,The Zero-G Release Engine,5,43,The Gravity Inverter,regulation | agency | boundary,gravitational | network | subtractive,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
436,submarine-cable,The Submarine Cable Engine,5,44,The Depth Sounder,regulation | connection | perspective,gravitational | structural | subtractive,"Differentiate by what gets assembled, snapped, or stabilized after contact","Tap should dampen or settle a live system, not merely toggle it","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
440,trench-beacon,The Trench Beacon Engine,5,44,The Depth Sounder,regulation | connection | perspective,subtractive | acoustic | gravitational,"Differentiate by what gets dropped, anchored, or centered after contact","Tap should dampen or settle a live system, not merely toggle it","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
444,orthographic-shift,The Orthographic Shift Engine,5,45,The Tesseract,perspective | identity | focus,network | gravitational | optical,Differentiate by what gets routed or connected after contact,"Tap should cause a decisive reveal, inversion, or reframing event","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
487,echolocation-return,The Echolocation Return Engine,5,49,The Abyssal Anchor,regulation | identity | release,subtractive | gravitational | thermal,"Differentiate by what gets dropped, anchored, or centered after contact","Tap should dampen or settle a live system, not merely toggle it","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
531,water-drop-erosion,The Water Drop Engine,6,54,The Geological Carver,release | temporal | agency,fluid | structural | temporal,"Differentiate by where the field floods, clears, or settles after contact","Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
535,sediment-deposit,The Sediment Deposit Engine,6,54,The Geological Carver,regulation | release | agency,fluid | structural | thermal,"Differentiate by where the field floods, clears, or settles after contact","Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
546,hourglass-shatter,The Hourglass Shatter Engine,6,55,The Hourglass Inversion,boundary | agency | release,gravitational | structural | temporal,"Differentiate by what gets assembled, snapped, or stabilized after contact","Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
556,ripple-effect-tap,The Ripple Effect Engine,6,56,The Ancestral Tether,temporal | boundary | perspective,network | temporal | acoustic,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
578,memory-compression,The Memory Compression Engine,6,58,The Ephemeral Bloom,identity | regulation | boundary,gravitational | network | temporal,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.",Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
580,seed-scatter-bloom,The Seed Scatter Engine,6,58,The Ephemeral Bloom,identity | regulation | release,gravitational | fluid | subtractive,"Differentiate by where the field floods, clears, or settles after contact","Tap should dampen or settle a live system, not merely toggle it","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
592,rigid-boulder-liquefy,The Rigid Boulder Engine,6,60,The Eternal River,connection | release | identity,fluid | network | gravitational,Differentiate by what gets routed or connected after contact,"Tap should cause a decisive reveal, inversion, or reframing event","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.",Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
598,ice-carapace-shatter,The Ice Carapace Engine,6,60,The Eternal River,release | regulation | agency,fluid | thermal | gravitational,"Differentiate by where the field floods, clears, or settles after contact","Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
608,false-target-matador,The False Target Engine,7,61,The Aikido Redirect,regulation | boundary | release,network | optical | thermal,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
609,frictionless-plane,The Frictionless Plane Engine,7,61,The Aikido Redirect,release | regulation,network | subtractive | thermal,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it",Moderate risk. Protect distinct consequence over explanation.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
618,intersection-overpass,The Intersection Overpass Engine,7,62,The Bezier Curve,agency | release | transmutation,gravitational,"Differentiate by what gets dropped, anchored, or centered after contact","Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
622,bowed-reed,The Bowed Reed Engine,7,63,The Elastic Yield,identity | perspective | temporal,network | acoustic | gravitational,Differentiate by what gets routed or connected after contact,"Tap should cause a decisive reveal, inversion, or reframing event","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
626,shock-absorber-sponge,The Shock Absorber Engine,7,63,The Elastic Yield,boundary | identity | perspective,thermal | topological,Differentiate by aftermath law so the same tap does not resolve into the same feeling,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
644,path-least-resistance,The Path of Least Resistance Engine,7,65,The Slipstream,boundary | agency | identity,fluid | structural | network,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.",Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
661,black-ice-grip,The Black Ice Engine,7,67,The Harmonious Friction,boundary | release | agency,network | thermal | structural,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
667,cleaving-wedge-break,The Cleaving Wedge Engine,7,67,The Harmonious Friction,boundary | agency | release,network | structural | subtractive,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
669,micro-adjustment-steer,The Micro-Adjustment Engine,7,67,The Harmonious Friction,boundary | release | agency,network | structural | subtractive,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
673,ballast-drop-gravity,The Ballast Drop Engine,7,68,The Counter-Balance,release | identity | agency,gravitational | network | subtractive,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
682,one-pixel-tap,The One-Pixel Tap Engine,7,69,The Minimum Effective Dose,agency | release | regulation,structural | gravitational | thermal,"Differentiate by what gets assembled, snapped, or stabilized after contact","Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
683,lead-domino-cascade,The Lead Domino Engine,7,69,The Minimum Effective Dose,agency | boundary | regulation,subtractive | gravitational | structural,"Differentiate by what gets assembled, snapped, or stabilized after contact","Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
687,boiling-point-degree,The Boiling Point Engine,7,69,The Minimum Effective Dose,agency | identity | regulation,fluid | thermal | gravitational,"Differentiate by where the field floods, clears, or settles after contact","Tap should dampen or settle a live system, not merely toggle it","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
688,acupuncture-needle,The Acupuncture Needle Engine,7,69,The Minimum Effective Dose,release | agency | regulation,network | gravitational | fluid,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
689,trim-tab-correction,The Trim Tab Engine,7,69,The Minimum Effective Dose,perspective | agency | regulation,gravitational | fluid | structural,"Differentiate by where the field floods, clears, or settles after contact","Tap should dampen or settle a live system, not merely toggle it","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
696,permeable-membrane,The Permeable Membrane Engine,7,70,The Wu Wei Master,boundary | regulation | release,thermal | gravitational | network,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
699,ghost-node-disidentify,The Ghost Node Engine,7,70,The Wu Wei Master,regulation | identity | release,network | thermal | subtractive,Differentiate by what gets routed or connected after contact,"Tap should dampen or settle a live system, not merely toggle it","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
